STATISTIC,Statistic Label,TLIST(A1),Year,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,9,"Fraud, deception and related offences ",Number,1612
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,10,Controlled drug offences ,Number,5825
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,11,Weapons and explosives offences ,Number,475
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,12,Damage to property and to the environment  offences ,Number,4653
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,13,Public order and other social code offences ,Number,6229
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2864
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,1,Homicide & related offences ,Number,17
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,2,Sexual offences ,Number,759
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,5019
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,4,Dangerous or negligent acts ,Number,2250
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,5,Kidnapping and related offences ,Number,41
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,6,"Robbery, extortion and hijacking offences ",Number,276
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,7,Burglary and related offences ,Number,2504
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,8,Theft and related offences ,Number,11128
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,9,"Fraud, deception and related offences ",Number,1456
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,10,Controlled drug offences ,Number,4322
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,11,Weapons and explosives offences ,Number,503
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,12,Damage to property and to the environment  offences ,Number,4431
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,13,Public order and other social code offences ,Number,7970
RCD06C01,Recorded crime incidents,2019,2019,40,Southern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2748
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,1,Homicide & related offences ,Number,67
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,2,Sexual offences ,Number,3363
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,21841
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,4,Dangerous or negligent acts ,Number,8702
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,5,Kidnapping and related offences ,Number,129
